rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1659,弥人,32
2,38133,FayeVL,提督,1685,弥人,31
3,2512897,山下住一丁,提督,1597,弥人,31
4,381534568,sayakadead,提督,1646,弥人,30
5,6036699,うちまきたまこ,提督,573,弥人,27
6,520352,黑镰刀,舰长,1391,弥人,31
7,12422769,Beartooth90,舰长,797,弥人,30
8,342447,任意子,舰长,1447,弥人,29
9,49337,无公害沙包,舰长,1631,弥人,29
10,12501775,コンプランド,舰长,1117,弥人,29
11,553301,镜晓文,舰长,1660,弥人,29
12,1829374,ムサシノタクミ,舰长,978,弥人,29
13,8772065,Yukari_YuRI,舰长,882,弥人,29
14,5155551,科罗娜青柠,舰长,1480,弥人,28
15,105402,清新正直HHP,舰长,1187,弥人,28
16,666671,Miki的麦麦,舰长,1376,弥人,28
17,16011437,瑪修-,舰长,1502,弥人,28
18,10786214,千万ly,舰长,1684,弥人,28
19,4206472,弥希家的Flanker-16,舰长,977,弥人,28
20,18363194,岁星昼见,舰长,1061,弥人,28
21,2513015,エーワックス-2434,舰长,1294,弥人,28
22,7913853,アベリアF,舰长,690,弥人,28
23,4304729,清光高校地雷部,舰长,970,弥人,28
24,356189,Heavens Feel,舰长,1370,弥人,28
25,735538,AOZAKI-YUI,舰长,1261,弥人,28
26,5812842,弥之鸣,舰长,1398,弥人,28
27,3182660,影月LuneZ,舰长,1416,弥人,28
28,4921755,アルカローズ,舰长,1412,弥人,28
29,1603612,月ノneet,舰长,1338,弥人,28
30,1971336,犭苗犭苗木木,舰长,1010,弥人,27
31,1920686335,弥希_Miki,舰长,969,弥人,27
32,48934997,感应性本能,舰长,845,弥人,27
33,11546675,贝尔纳德C3,舰长,1424,弥人,27
34,774372,黑糖香草摩卡,舰长,848,弥人,27
35,925,911,舰长,1286,弥人,27
36,281163151,JOL1ON,舰长,689,弥人,27
37,343691814,Noneither,舰长,712,弥人,27
38,3161528,e-sasaki,舰长,1073,弥人,27
39,5801333,低级咬人细胞,舰长,1370,弥人,27
40,26465,一个大光头都没有,舰长,1623,弥人,27
41,394942544,咳哈哈哈哼哼,舰长,1504,弥人,27
42,7864667,奈亚子从不发糖,舰长,1498,弥人,27
43,123785,灯十走十走十走,舰长,1379,弥人,27
44,13026101,Naglfar-,舰长,1235,弥人,27
45,2699660,朝日奈未來,舰长,1337,弥人,27
46,5460965,松石绿的钢,舰长,1647,弥人,27
47,7180032,无为無為,舰长,1179,弥人,27
