rank,uid,username,type,accompany,medal_name,medal_level
1,264506970,弥希Miki的真空家乡,总督,310,弥人,42
2,96957,ルルティエ,提督,2132,弥人,49
3,12422769,Beartooth90,提督,1270,弥人,44
4,4333178,波动性巧克力慕斯,提督,550,弥人,42
5,4304729,清光高校地雷部,提督,1443,弥人,42
6,3561142,无名一世,提督,675,弥人,38
7,37117728,西门烧烤,提督,446,弥人,36
8,21101802,宇文难会,提督,53,弥人,31
9,28832,短刀与毒药,提督,56,弥人,31
10,38133,FayeVL,舰长,2158,弥人,48
11,2512897,山下住一丁,舰长,2070,弥人,45
12,342447,任意子,舰长,1920,弥人,43
13,49337,无公害沙包,舰长,2104,弥人,42
14,553301,镜晓文,舰长,2133,弥人,42
15,12501775,コンプランド,舰长,1590,弥人,42
16,8772065,Yukari_YuRI,舰长,1349,弥人,41
17,2513015,エーワックス-2434,舰长,1740,弥人,40
18,105402,清新正直HHP,舰长,1660,弥人,40
19,10786214,千万ly,舰长,2157,弥人,39
20,1640605,神の道化,舰长,869,弥人,39
21,16011437,瑪修-,舰长,1975,弥人,39
22,18363194,岁星昼见,舰长,1465,弥人,39
23,1603612,月ノneet,舰长,1811,弥人,38
24,7913853,アベリアF,舰长,1163,弥人,38
25,1971336,犭苗犭苗木木,舰长,1469,弥人,38
26,4921755,アルカローズ,舰长,1885,弥人,38
27,3182660,影月LuneZ,舰长,1889,弥人,37
28,4274580,良臣没有重谢,舰长,594,弥人,37
29,48934997,感应性本能,舰长,1318,弥人,37
30,11546675,贝尔纳德C3,舰长,1891,弥人,37
31,486937583,红白鬼巫,舰长,1111,弥人,36
32,11347396,傻坐着发愣,舰长,1104,弥人,36
33,774372,黑糖香草摩卡,舰长,1321,弥人,36
34,26465,一个大光头都没有,舰长,2096,弥人,36
35,8274893,西西纳图斯,舰长,606,弥人,36
36,343691814,Noneither,舰长,1163,弥人,36
37,3161528,e-sasaki,舰长,1199,弥人,35
38,10261329,yukino-雪之下雪乃,舰长,883,弥人,35
39,159019,九重雪会,舰长,1006,弥人,35
40,10776008,丽兹与青鸟,舰长,724,弥人,35
41,14910777,勉強机,舰长,1153,弥人,35
42,565632,YomaKKK,舰长,597,弥人,35
43,266375,咕咕-咕咕咕咕咕-咕,舰长,752,弥人,35
44,1397965,雨宫ノエル,舰长,1669,弥人,34
45,28647475,Urobolus_0,舰长,860,弥人,34
46,20186995,黇鹿dmdm,舰长,1138,弥人,34
47,330367780,呆喂诶,舰长,666,弥人,34
48,569267,鵺鸮,舰长,1498,弥人,34
49,209374441,知世xf,舰长,270,弥人,34
50,3546598237800885,拉斯普廷Rasia,舰长,173,弥人,33
51,12974,蓬萊山空,舰长,1133,弥人,33
52,336198406,凌徊levy,舰长,383,弥人,33
53,8396429,airstone42,舰长,1033,弥人,33
54,8359,赫のシャドール,舰长,743,弥人,32
55,9819432,天遂_人愿,舰长,982,弥人,32
56,25372126,名字好念的19,舰长,533,弥人,31
57,49795765,滨海西小毒瘤,舰长,353,弥人,31
58,29147008,摸摸摸moNa,舰长,293,弥人,31
59,3959318,音流Cymatics,舰长,713,弥人,31
60,3661408,仮面騎空士,舰长,444,弥人,31
61,1935274,丁骨烩饭T,舰长,474,弥人,30
62,10068032,dozenw,舰长,383,弥人,30
63,323728572,每秒单推一个,舰长,293,弥人,30
64,351179408,iooPlover,舰长,383,弥人,30
65,30886307,星见弥瑠,舰长,203,弥人,30
66,357142389,弥秃的驴友,舰长,233,弥人,30
67,9213296,WZZSSX,舰长,383,弥人,30
68,44123513,爱凑热闹です,舰长,323,弥人,30
69,685112,柊亚,舰长,263,弥人,29
70,59275,梦魇Tsuki,舰长,325,弥人,29
71,1930398429,ALyCE初号机,舰长,265,弥人,29
72,593826,博物馆里的企鹅,舰长,203,弥人,28
73,7462406,IrisYK,舰长,206,弥人,28
74,5709088,・-・,舰长,173,弥人,28
75,2777263,小黑瓜,舰长,143,弥人,28
76,662497,Kapibara0,舰长,293,弥人,28
77,157539897,志摩弥,舰长,83,弥人,28
78,7767249,子夜辣了条,舰长,173,弥人,27
79,1602053,佩尔基萨斯,舰长,53,弥人,27
80,1770348,レメディア・カラー,舰长,143,弥人,27
81,317302,麦子提不起劲,舰长,173,弥人,27
82,440165871,MajorStardust,舰长,113,弥人,26
83,363879202,Figureフィギュア,舰长,113,弥人,26
84,22774244,Lava-To,舰长,23,弥人,26
85,13935237,大划等号芝,舰长,143,弥人,26
