rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,2031,弥人,32
2,38133,FayeVL,提督,2057,弥人,32
3,520352,黑镰刀,提督,1763,弥人,31
4,381534568,sayakadead,提督,1934,弥人,30
5,342447,任意子,提督,1819,弥人,30
6,4304729,清光高校地雷部,提督,1342,弥人,29
7,4333178,波动性巧克力慕斯,提督,449,弥人,28
8,264506970,顾小桑的真空家乡,提督,209,弥人,27
9,2512897,山下住一丁,舰长,1969,弥人,31
10,12422769,Beartooth90,舰长,1169,弥人,30
11,49337,无公害沙包,舰长,2003,弥人,30
12,12501775,コンプランド,舰长,1489,弥人,29
13,553301,镜晓文,舰长,2032,弥人,29
14,8772065,Yukari_YuRI,舰长,1249,弥人,29
15,1829374,ムサシノタクミ,舰长,1350,弥人,29
16,4206472,弥希家的针尾雨燕,舰长,1340,弥人,29
17,105402,清新正直HHP,舰长,1559,弥人,29
18,5155551,科罗娜青柠,舰长,1852,弥人,29
19,2513015,エーワックス-2434,舰长,1642,弥人,28
20,10786214,千万ly,舰长,2056,弥人,28
21,16011437,瑪修-,舰长,1874,弥人,28
22,1640605,神の道化,舰长,768,弥人,28
23,7913853,アベリアF,舰长,1062,弥人,28
24,1603612,月ノneet,舰长,1710,弥人,28
25,356189,Heavens Feel,舰长,1742,弥人,28
26,4921755,アルカローズ,舰长,1784,弥人,28
27,1971336,犭苗犭苗木木,舰长,1368,弥人,28
28,5812842,弥之鸣,舰长,1770,弥人,28
29,3182660,影月LuneZ,舰长,1788,弥人,28
30,48934997,感应性本能,舰长,1217,弥人,28
31,11546675,贝尔纳德C3,舰长,1790,弥人,27
32,3561142,无名一世,舰长,574,弥人,27
33,11347396,傻坐着发愣,舰长,1003,弥人,27
34,774372,黑糖香草摩卡,舰长,1220,弥人,27
35,26465,一个大光头都没有,舰长,1995,弥人,27
36,343691814,Noneither,舰长,1084,弥人,27
37,281163151,JOL1ON,舰长,1061,弥人,27
38,7180032,无为無為,舰长,1547,弥人,27
39,486937583,红白鬼巫,舰长,1010,弥人,27
40,8274893,西西纳图斯,舰长,505,弥人,27
41,7864667,奈亚子从不发糖,舰长,1870,弥人,27
42,5801333,低级咬人细胞,舰长,1539,弥人,27
43,394942544,咳哈哈哈哼哼,舰长,1722,弥人,27
44,453572565,全職彌人-andy878797,舰长,760,弥人,27
45,13026101,Naglfar-,舰长,1607,弥人,27
46,2699660,朝日奈未來,舰长,1709,弥人,27
47,2450646,CYSoulDown,舰长,768,弥人,27
48,10261329,yukino-雪之下雪乃,舰长,782,弥人,27
49,16171733,铃鹿Toshi,舰长,1758,弥人,27
50,10776008,丽兹与青鸟,舰长,634,弥人,27
51,1397965,雨宫ノエル,舰长,1568,弥人,27
52,6165418,一号机测试机师,舰长,1646,弥人,27
53,37117728,西门烧烤,舰长,354,弥人,27
54,159019,九重雪会,舰长,905,弥人,27
55,14354112,EndlessDice,舰长,1475,弥人,27
56,14910777,勉強机,舰长,1052,弥人,27
57,20186995,黇鹿dmdm,舰长,1037,弥人,26
58,1878939,破破破破破cd,舰长,820,弥人,26
59,2290770,夕月秋乃,舰长,1401,弥人,26
60,569267,鵺鸮,舰长,1397,弥人,26
61,330367780,呆喂诶,舰长,565,弥人,26
62,7257611,椎名エリ,舰长,775,弥人,26
63,28647475,Urobolus_0,舰长,759,弥人,26
64,6949826,里见光钻,舰长,717,弥人,26
65,565632,YomaKKK,舰长,496,弥人,26
66,266375,咕咕-咕咕咕咕咕-咕,舰长,651,弥人,26
67,12974,蓬萊山空,舰长,1036,弥人,26
68,1829907,Skorz_Tsurumi,舰长,667,弥人,26
69,8396429,airstone42,舰长,932,弥人,26
70,9819432,天遂_人愿,舰长,881,弥人,26
71,2495576,spiece,舰长,583,弥人,26
72,236018,ドジみ,舰长,757,弥人,26
73,8359,赫のシャドール,舰长,642,弥人,26
74,34449312,TGGLL,舰长,519,弥人,26
75,119629,灰原烬,舰长,342,弥人,26
76,384616248,毛毛毛毛线裤,舰长,252,弥人,26
77,34616293,摸摸摸摸你傻,舰长,251,弥人,26
78,1645359409,牛奶巧克力厨,舰长,749,弥人,26
79,26580137,夜袭魅影,舰长,243,弥人,26
80,4393496,不爱说话的久久,舰长,634,弥人,26
81,5285,凉叶スズハ,舰长,552,弥人,26
82,209374441,知世xf,舰长,172,弥人,25
83,3546598237800885,拉斯普廷Rasia,舰长,74,弥人,25
84,336198406,凌徊levy,舰长,282,弥人,25
85,7951981,春山薄雪,舰长,187,弥人,25
86,25372126,名字好念的19,舰长,432,弥人,25
87,58725,Qullx,舰长,535,弥人,25
88,30753025,月迷Solomon,舰长,119,弥人,25
89,49795765,滨海西小毒瘤,舰长,252,弥人,25
90,1935274,丁骨烩饭T,舰长,0,弥人,25
91,615000,节操联邦调查总局,舰长,385,弥人,25
92,10068032,dozenw,舰长,282,弥人,25
93,323728572,每秒单推一个,舰长,0,弥人,24
94,351179408,iooPlover,舰长,282,弥人,24
95,89636742,A1in_sy,舰长,253,弥人,24
