rank,uid,username,type,accompany,medal_name,medal_level
1,4333178,波动性巧克力慕斯,总督,526,弥人,42
2,96957,ルルティエ,提督,2108,弥人,49
3,38133,FayeVL,提督,2134,弥人,48
4,520352,黑镰刀,提督,1840,弥人,46
5,381534568,sayakadead,提督,2000,弥人,44
6,12422769,Beartooth90,提督,1246,弥人,44
7,342447,任意子,提督,1896,弥人,43
8,4304729,清光高校地雷部,提督,1419,弥人,42
9,553301,镜晓文,提督,2109,弥人,41
10,1640605,神の道化,提督,845,弥人,39
11,264506970,顾小桑的真空家乡,提督,286,弥人,38
12,486937583,红白鬼巫,提督,1087,弥人,36
13,37117728,西门烧烤,提督,422,弥人,35
14,209374441,知世xf,提督,246,弥人,33
15,28832,短刀与毒药,提督,32,弥人,31
16,2512897,山下住一丁,舰长,2046,弥人,45
17,49337,无公害沙包,舰长,2080,弥人,42
18,12501775,コンプランド,舰长,1566,弥人,42
19,4206472,弥希家的针尾雨燕,舰长,1407,弥人,41
20,8772065,Yukari_YuRI,舰长,1325,弥人,41
21,1829374,ムサシノタクミ,舰长,1427,弥人,41
22,2513015,エーワックス-2434,舰长,1716,弥人,40
23,105402,清新正直HHP,舰长,1636,弥人,40
24,5155551,科罗娜青柠,舰长,1929,弥人,40
25,10786214,千万ly,舰长,2133,弥人,39
26,16011437,瑪修-,舰长,1951,弥人,39
27,18363194,岁星昼见,舰长,1441,弥人,39
28,1920686335,弥希_Miki,舰长,1369,弥人,38
29,1603612,月ノneet,舰长,1787,弥人,38
30,7913853,アベリアF,舰长,1139,弥人,38
31,1971336,犭苗犭苗木木,舰长,1445,弥人,38
32,356189,Heavens Feel,舰长,1819,弥人,38
33,5812842,弥之鸣,舰长,1847,弥人,38
34,4921755,アルカローズ,舰长,1861,弥人,38
35,3065698,西北望那珂酱,舰长,1050,弥人,37
36,3182660,影月LuneZ,舰长,1865,弥人,37
37,48934997,感应性本能,舰长,1294,弥人,37
38,11546675,贝尔纳德C3,舰长,1867,弥人,37
39,3561142,无名一世,舰长,651,弥人,36
40,11347396,傻坐着发愣,舰长,1080,弥人,36
41,7180032,无为無為,舰长,1622,弥人,36
42,26465,一个大光头都没有,舰长,2072,弥人,36
43,8274893,西西纳图斯,舰长,582,弥人,36
44,774372,黑糖香草摩卡,舰长,1297,弥人,36
45,453572565,全職彌人-andy878797,舰长,837,弥人,35
46,3677907,李黑羊,舰长,1193,弥人,35
47,7864667,奈亚子从不发糖,舰长,1947,弥人,35
48,10261329,yukino-雪之下雪乃,舰长,859,弥人,35
49,6165418,一号机测试机师,舰长,1723,弥人,35
50,13026101,Naglfar-,舰长,1684,弥人,35
51,10776008,丽兹与青鸟,舰长,700,弥人,35
52,159019,九重雪会,舰长,982,弥人,35
53,1397965,雨宫ノエル,舰长,1645,弥人,34
54,14354112,EndlessDice,舰长,1552,弥人,34
55,33081468,breaaak,舰长,403,弥人,34
56,14910777,勉強机,舰长,1129,弥人,34
57,266375,咕咕-咕咕咕咕咕-咕,舰长,728,弥人,34
58,7257611,椎名エリ,舰长,852,弥人,34
59,1878939,破破破破破cd,舰长,897,弥人,34
60,20186995,黇鹿dmdm,舰长,1114,弥人,34
61,565632,YomaKKK,舰长,573,弥人,34
62,330367780,呆喂诶,舰长,642,弥人,34
63,569267,鵺鸮,舰长,1474,弥人,34
64,2290770,夕月秋乃,舰长,1478,弥人,34
65,28647475,Urobolus_0,舰长,836,弥人,33
66,8396429,airstone42,舰长,1009,弥人,32
67,34449312,TGGLL,舰长,596,弥人,32
68,336198406,凌徊levy,舰长,359,弥人,32
69,9819432,天遂_人愿,舰长,958,弥人,32
70,8359,赫のシャドール,舰长,719,弥人,32
71,384616248,毛毛毛毛线裤,舰长,313,弥人,32
72,236018,ドジみ,舰长,834,弥人,32
73,34616293,摸摸摸摸你傻,舰长,308,弥人,32
74,2495576,spiece,舰长,660,弥人,32
75,26580137,夜袭魅影,舰长,320,弥人,32
76,4393496,不爱说话的久久,舰长,711,弥人,32
77,3546598237800885,拉斯普廷Rasia,舰长,151,弥人,31
78,5285,凉叶スズハ,舰长,610,弥人,31
79,1645359409,牛奶巧克力厨,舰长,826,弥人,31
80,25372126,名字好念的19,舰长,509,弥人,31
81,58725,Qullx,舰长,612,弥人,31
82,49795765,滨海西小毒瘤,舰长,329,弥人,31
83,7951981,春山薄雪,舰长,264,弥人,31
84,30753025,月迷Solomon,舰长,181,弥人,31
85,1780845,noncrystal,舰长,373,弥人,30
