rank,uid,username,type,accompany,medal_name,medal_level
1,4333178,波动性巧克力慕斯,总督,515,弥人,29
2,96957,ルルティエ,提督,2097,弥人,32
3,38133,FayeVL,提督,2123,弥人,32
4,520352,黑镰刀,提督,1829,弥人,31
5,381534568,sayakadead,提督,1989,弥人,30
6,12422769,Beartooth90,提督,1235,弥人,30
7,342447,任意子,提督,1885,弥人,30
8,553301,镜晓文,提督,2098,弥人,29
9,4304729,清光高校地雷部,提督,1408,弥人,29
10,1640605,神の道化,提督,834,弥人,28
11,264506970,顾小桑的真空家乡,提督,275,弥人,28
12,486937583,红白鬼巫,提督,1076,弥人,27
13,2512897,山下住一丁,舰长,2035,弥人,31
14,49337,无公害沙包,舰长,2069,弥人,30
15,12501775,コンプランド,舰长,1555,弥人,29
16,8772065,Yukari_YuRI,舰长,1314,弥人,29
17,4206472,弥希家的针尾雨燕,舰长,1396,弥人,29
18,1829374,ムサシノタクミ,舰长,1416,弥人,29
19,105402,清新正直HHP,舰长,1625,弥人,29
20,2513015,エーワックス-2434,舰长,1705,弥人,29
21,5155551,科罗娜青柠,舰长,1918,弥人,29
22,10786214,千万ly,舰长,2122,弥人,28
23,16011437,瑪修-,舰长,1940,弥人,28
24,1920686335,弥希_Miki,舰长,1358,弥人,28
25,18363194,岁星昼见,舰长,1430,弥人,28
26,7913853,アベリアF,舰长,1128,弥人,28
27,1603612,月ノneet,舰长,1776,弥人,28
28,356189,Heavens Feel,舰长,1808,弥人,28
29,1971336,犭苗犭苗木木,舰长,1434,弥人,28
30,4921755,アルカローズ,舰长,1850,弥人,28
31,5812842,弥之鸣,舰长,1836,弥人,28
32,3065698,西北望那珂酱,舰长,1039,弥人,28
33,3182660,影月LuneZ,舰长,1854,弥人,28
34,48934997,感应性本能,舰长,1283,弥人,28
35,11546675,贝尔纳德C3,舰长,1856,弥人,27
36,3561142,无名一世,舰长,640,弥人,27
37,7180032,无为無為,舰长,1611,弥人,27
38,11347396,傻坐着发愣,舰长,1069,弥人,27
39,925,911,舰长,1568,弥人,27
40,774372,黑糖香草摩卡,舰长,1286,弥人,27
41,26465,一个大光头都没有,舰长,2061,弥人,27
42,8274893,西西纳图斯,舰长,571,弥人,27
43,7864667,奈亚子从不发糖,舰长,1936,弥人,27
44,453572565,全職彌人-andy878797,舰长,826,弥人,27
45,3677907,李黑羊,舰长,1182,弥人,27
46,13026101,Naglfar-,舰长,1673,弥人,27
47,2450646,CYSoulDown,舰长,834,弥人,27
48,10261329,yukino-雪之下雪乃,舰长,848,弥人,27
