rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1976,弥人,32
2,38133,FayeVL,提督,2002,弥人,32
3,520352,黑镰刀,提督,1708,弥人,31
4,2512897,山下住一丁,提督,1914,弥人,31
5,381534568,sayakadead,提督,1896,弥人,30
6,12422769,Beartooth90,提督,1114,弥人,30
7,342447,任意子,提督,1764,弥人,30
8,49337,无公害沙包,提督,1948,弥人,30
9,8772065,Yukari_YuRI,提督,1194,弥人,29
10,4304729,清光高校地雷部,提督,1287,弥人,29
11,2513015,エーワックス-2434,提督,1599,弥人,28
12,1920686335,弥希_Miki,提督,1276,弥人,28
13,1603612,月ノneet,提督,1655,弥人,28
14,1640605,神の道化,提督,713,弥人,28
15,4921755,アルカローズ,提督,1729,弥人,28
16,4333178,波动性巧克力慕斯,提督,394,弥人,28
17,1971336,犭苗犭苗木木,提督,1313,弥人,28
18,48934997,感应性本能,提督,1162,弥人,28
19,11546675,贝尔纳德C3,提督,1735,弥人,27
20,3561142,无名一世,提督,522,弥人,27
21,21137726,nEwb1EE,提督,380,弥人,27
22,11347396,傻坐着发愣,提督,948,弥人,27
23,486937583,红白鬼巫,提督,955,弥人,27
24,8274893,西西纳图斯,提督,450,弥人,27
25,3677907,李黑羊,提督,1110,弥人,27
26,264506970,顾小桑的真空家乡,提督,154,弥人,27
27,109152708,孤独熊Kuma,提督,680,弥人,27
28,37117728,西门烧烤,提督,299,弥人,27
29,249486249,larva_中国囚人,提督,110,弥人,26
30,565632,YomaKKK,提督,441,弥人,26
31,503,流河,提督,80,弥人,26
32,8175800,桜小路音符,提督,20,弥人,25
33,12501775,コンプランド,舰长,1434,弥人,29
34,553301,镜晓文,舰长,1977,弥人,29
35,1829374,ムサシノタクミ,舰长,1295,弥人,29
36,4206472,弥希家的针尾雨燕,舰长,1285,弥人,29
37,105402,清新正直HHP,舰长,1504,弥人,29
38,5155551,科罗娜青柠,舰长,1797,弥人,28
39,10786214,千万ly,舰长,2001,弥人,28
40,16011437,瑪修-,舰长,1819,弥人,28
41,18363194,岁星昼见,舰长,1336,弥人,28
42,7913853,アベリアF,舰长,1007,弥人,28
43,356189,Heavens Feel,舰长,1687,弥人,28
44,5812842,弥之鸣,舰长,1715,弥人,28
45,3065698,西北望那珂酱,舰长,1008,弥人,28
46,3182660,影月LuneZ,舰长,1733,弥人,28
47,925,911,舰长,1518,弥人,27
48,774372,黑糖香草摩卡,舰长,1165,弥人,27
49,343691814,Noneither,舰长,1029,弥人,27
50,12037051,岛那灯,舰长,1198,弥人,27
51,281163151,JOL1ON,舰长,1006,弥人,27
52,26465,一个大光头都没有,舰长,1940,弥人,27
53,12036148,寇塔娜哪去了,舰长,1256,弥人,27
54,7180032,无为無為,舰长,1492,弥人,27
55,7864667,奈亚子从不发糖,舰长,1815,弥人,27
56,5801333,低级咬人细胞,舰长,1484,弥人,27
57,394942544,咳哈哈哈哼哼,舰长,1667,弥人,27
58,2699660,朝日奈未來,舰长,1654,弥人,27
59,13026101,Naglfar-,舰长,1552,弥人,27
60,2450646,C一串,舰长,713,弥人,27
61,229101190,不稳定层结,舰长,1046,弥人,27
62,10261329,yukino-雪之下雪乃,舰长,727,弥人,27
63,16171733,铃鹿Toshi,舰长,1703,弥人,27
64,6165418,一号机测试机师,舰长,1591,弥人,27
65,1397965,雨宫ノエル,舰长,1513,弥人,27
66,453572565,全職彌人-andy878797,舰长,705,弥人,27
67,511821,CureMagical,舰长,1310,弥人,27
68,10776008,丽兹与青鸟,舰长,579,弥人,27
69,14354112,EndlessDice,舰长,1420,弥人,27
70,159019,九重雪会,舰长,850,弥人,27
71,14910777,勉強机,舰长,997,弥人,26
72,20186995,黇鹿dmdm,舰长,982,弥人,26
73,1878939,破破破破破cd,舰长,765,弥人,26
74,2290770,夕月秋乃,舰长,1346,弥人,26
75,569267,鵺鸮,舰长,1342,弥人,26
76,33081468,breaaak,舰长,350,弥人,26
77,330367780,呆喂诶,舰长,510,弥人,26
78,28647475,Urobolus_0,舰长,704,弥人,26
79,7257611,椎名エリ,舰长,720,弥人,26
80,453196,-kenjoy-,舰长,380,弥人,26
81,14378626,昼星轨,舰长,230,弥人,26
82,175534794,sorinX,舰长,1119,弥人,26
83,13573100,zerobom,舰长,560,弥人,26
84,261107251,即兴屠龙的兔子,舰长,170,弥人,26
