rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1964,弥人,32
2,38133,FayeVL,提督,1990,弥人,32
3,520352,黑镰刀,提督,1696,弥人,31
4,2512897,山下住一丁,提督,1902,弥人,31
5,381534568,sayakadead,提督,1884,弥人,30
6,12422769,Beartooth90,提督,1102,弥人,30
7,342447,任意子,提督,1752,弥人,30
8,49337,无公害沙包,提督,1936,弥人,30
9,8772065,Yukari_YuRI,提督,1182,弥人,29
10,4304729,清光高校地雷部,提督,1275,弥人,29
11,2513015,エーワックス-2434,提督,1587,弥人,28
12,1920686335,弥希_Miki,提督,1264,弥人,28
13,1603612,月ノneet,提督,1643,弥人,28
14,1640605,神の道化,提督,701,弥人,28
15,4921755,アルカローズ,提督,1717,弥人,28
16,1971336,犭苗犭苗木木,提督,1301,弥人,28
17,4333178,波动性巧克力慕斯,提督,382,弥人,28
18,48934997,感应性本能,提督,1150,弥人,28
19,11546675,贝尔纳德C3,提督,1723,弥人,27
20,3561142,无名一世,提督,510,弥人,27
21,21137726,nEwb1EE,提督,368,弥人,27
22,11347396,傻坐着发愣,提督,936,弥人,27
23,486937583,红白鬼巫,提督,943,弥人,27
24,8274893,西西纳图斯,提督,438,弥人,27
25,3677907,李黑羊,提督,1098,弥人,27
26,264506970,顾小桑的真空家乡,提督,142,弥人,27
27,109152708,孤独熊Kuma,提督,668,弥人,27
28,37117728,西门烧烤,提督,287,弥人,27
29,249486249,larva_中国囚人,提督,98,弥人,26
30,565632,YomaKKK,提督,429,弥人,26
31,503,流河,提督,68,弥人,26
32,8175800,桜小路音符,提督,8,弥人,25
33,12501775,コンプランド,舰长,1422,弥人,29
34,553301,镜晓文,舰长,1965,弥人,29
35,1829374,ムサシノタクミ,舰长,1283,弥人,29
36,4206472,弥希家的针尾雨燕,舰长,1273,弥人,29
37,105402,清新正直HHP,舰长,1492,弥人,29
38,5155551,科罗娜青柠,舰长,1785,弥人,28
39,10786214,千万ly,舰长,1989,弥人,28
