rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,2073,弥人,32
2,38133,FayeVL,提督,2099,弥人,32
3,520352,黑镰刀,提督,1805,弥人,31
4,381534568,sayakadead,提督,1969,弥人,30
5,12422769,Beartooth90,提督,1211,弥人,30
6,342447,任意子,提督,1861,弥人,30
7,4304729,清光高校地雷部,提督,1384,弥人,29
8,4333178,波动性巧克力慕斯,提督,491,弥人,28
9,264506970,顾小桑的真空家乡,提督,251,弥人,28
10,2512897,山下住一丁,舰长,2011,弥人,31
11,49337,无公害沙包,舰长,2045,弥人,30
12,12501775,コンプランド,舰长,1531,弥人,29
13,553301,镜晓文,舰长,2074,弥人,29
14,8772065,Yukari_YuRI,舰长,1290,弥人,29
15,4206472,弥希家的针尾雨燕,舰长,1380,弥人,29
16,1829374,ムサシノタクミ,舰长,1392,弥人,29
17,105402,清新正直HHP,舰长,1601,弥人,29
18,2513015,エーワックス-2434,舰长,1681,弥人,29
19,5155551,科罗娜青柠,舰长,1894,弥人,29
20,10786214,千万ly,舰长,2098,弥人,28
21,16011437,瑪修-,舰长,1916,弥人,28
22,1920686335,弥希_Miki,舰长,1342,弥人,28
23,18363194,岁星昼见,舰长,1406,弥人,28
24,1640605,神の道化,舰长,810,弥人,28
25,7913853,アベリアF,舰长,1104,弥人,28
26,1603612,月ノneet,舰长,1752,弥人,28
27,356189,Heavens Feel,舰长,1784,弥人,28
28,1971336,犭苗犭苗木木,舰长,1410,弥人,28
29,4921755,アルカローズ,舰长,1826,弥人,28
30,5812842,弥之鸣,舰长,1812,弥人,28
31,3182660,影月LuneZ,舰长,1830,弥人,28
32,48934997,感应性本能,舰长,1259,弥人,28
33,11546675,贝尔纳德C3,舰长,1832,弥人,27
34,3561142,无名一世,舰长,616,弥人,27
35,11347396,傻坐着发愣,舰长,1045,弥人,27
36,7180032,无为無為,舰长,1589,弥人,27
37,925,911,舰长,1544,弥人,27
38,774372,黑糖香草摩卡,舰长,1262,弥人,27
39,26465,一个大光头都没有,舰长,2037,弥人,27
40,343691814,Noneither,舰长,1126,弥人,27
41,486937583,红白鬼巫,舰长,1052,弥人,27
42,281163151,JOL1ON,舰长,1103,弥人,27
43,8274893,西西纳图斯,舰长,547,弥人,27
44,7864667,奈亚子从不发糖,舰长,1912,弥人,27
45,5801333,低级咬人细胞,舰长,1581,弥人,27
46,453572565,全職彌人-andy878797,舰长,802,弥人,27
47,3677907,李黑羊,舰长,1158,弥人,27
48,13026101,Naglfar-,舰长,1649,弥人,27
49,2450646,CYSoulDown,舰长,810,弥人,27
50,10261329,yukino-雪之下雪乃,舰长,824,弥人,27
51,16171733,铃鹿Toshi,舰长,1800,弥人,27
52,10776008,丽兹与青鸟,舰长,665,弥人,27
53,37117728,西门烧烤,舰长,390,弥人,27
54,6165418,一号机测试机师,舰长,1688,弥人,27
55,1397965,雨宫ノエル,舰长,1610,弥人,27
56,159019,九重雪会,舰长,947,弥人,27
57,14354112,EndlessDice,舰长,1517,弥人,27
58,14910777,勉強机,舰长,1094,弥人,27
59,20186995,黇鹿dmdm,舰长,1079,弥人,26
60,2290770,夕月秋乃,舰长,1443,弥人,26
61,1878939,破破破破破cd,舰长,862,弥人,26
62,569267,鵺鸮,舰长,1439,弥人,26
63,330367780,呆喂诶,舰长,607,弥人,26
64,7257611,椎名エリ,舰长,817,弥人,26
65,28647475,Urobolus_0,舰长,801,弥人,26
66,565632,YomaKKK,舰长,538,弥人,26
67,266375,咕咕-咕咕咕咕咕-咕,舰长,693,弥人,26
68,12974,蓬萊山空,舰长,1078,弥人,26
69,1829907,Skorz_Tsurumi,舰长,709,弥人,26
70,8396429,airstone42,舰长,974,弥人,26
71,9819432,天遂_人愿,舰长,923,弥人,26
72,2495576,spiece,舰长,625,弥人,26
73,236018,ドジみ,舰长,799,弥人,26
74,8359,赫のシャドール,舰长,684,弥人,26
75,34449312,TGGLL,舰长,561,弥人,26
76,384616248,毛毛毛毛线裤,舰长,292,弥人,26
77,1645359409,牛奶巧克力厨,舰长,791,弥人,26
78,34616293,摸摸摸摸你傻,舰长,293,弥人,26
79,2955509,Iro4s,舰长,614,弥人,26
80,3546598237800885,拉斯普廷Rasia,舰长,116,弥人,26
81,336198406,凌徊levy,舰长,324,弥人,26
82,209374441,知世xf,舰长,211,弥人,26
83,26580137,夜袭魅影,舰长,285,弥人,26
84,4393496,不爱说话的久久,舰长,676,弥人,26
85,14879283,Sctchf,舰长,545,弥人,26
86,5285,凉叶スズハ,舰长,575,弥人,26
87,7951981,春山薄雪,舰长,229,弥人,25
88,4876018,弥希MlKl,舰长,395,弥人,25
89,58725,Qullx,舰长,577,弥人,25
90,25372126,名字好念的19,舰长,474,弥人,25
91,30753025,月迷Solomon,舰长,146,弥人,25
92,49795765,滨海西小毒瘤,舰长,294,弥人,25
93,1780845,noncrystal,舰长,342,弥人,25
94,1935274,丁骨烩饭T,舰长,415,弥人,25
95,3546569250965659,ティセリリ,舰长,280,弥人,25
96,10068032,dozenw,舰长,324,弥人,25
97,323728572,每秒单推一个,舰长,234,弥人,25
98,351179408,iooPlover,舰长,324,弥人,25
99,89636742,A1in_sy,舰长,295,弥人,24
100,44123513,爱凑热闹です,舰长,264,弥人,24
101,22381696,篝火砰砰啪,舰长,256,弥人,24
102,4479168,RBQ如月乱,舰长,256,弥人,24
103,252903,晓美马鲅鱼_AkemiMbayu,舰长,145,弥人,24
104,662497,Kapibara0,舰长,234,弥人,24
105,1930398429,ALyCE初号机,舰长,206,弥人,24
106,40712818,2MengMeng2,舰长,155,弥人,24
107,441776977,Chitose彰良,舰长,86,弥人,23
108,834234,不会哭闹的球,舰长,39,弥人,23
109,8547994,1ucky-K,舰长,87,弥人,22
110,25009047,神奇安娜,舰长,35,弥人,22
111,403200749,酎歆丶,舰长,51,弥人,22
112,38593875,アスカ゛,舰长,26,弥人,22
113,39339983,Revy12,舰长,5,弥人,21
114,3979262,Bamdoor,舰长,12,弥人,21
115,5045894,beattofu,舰长,5,弥人,21
