rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1747,弥人,32
2,2512897,山下住一丁,提督,1685,弥人,31
3,38133,FayeVL,舰长,1773,弥人,31
4,520352,黑镰刀,舰长,1479,弥人,31
5,12422769,Beartooth90,舰长,885,弥人,30
6,342447,任意子,舰长,1535,弥人,29
7,49337,无公害沙包,舰长,1719,弥人,29
8,12501775,コンプランド,舰长,1205,弥人,29
9,553301,镜晓文,舰长,1748,弥人,29
10,1829374,ムサシノタクミ,舰长,1066,弥人,29
11,8772065,Yukari_YuRI,舰长,967,弥人,29
12,5155551,科罗娜青柠,舰长,1568,弥人,28
13,105402,清新正直HHP,舰长,1275,弥人,28
14,666671,Miki的麦麦,舰长,1464,弥人,28
15,4206472,弥希家的针尾雨燕,舰长,1061,弥人,28
16,16011437,瑪修-,舰长,1590,弥人,28
17,10786214,千万ly,舰长,1772,弥人,28
18,18363194,岁星昼见,舰长,1140,弥人,28
19,4304729,清光高校地雷部,舰长,1058,弥人,28
20,2513015,エーワックス-2434,舰长,1381,弥人,28
21,7913853,アベリアF,舰长,778,弥人,28
22,356189,Heavens Feel,舰长,1458,弥人,28
23,5812842,弥之鸣,舰长,1486,弥人,28
24,3182660,影月LuneZ,舰长,1504,弥人,28
25,1603612,月ノneet,舰长,1426,弥人,28
26,4921755,アルカローズ,舰长,1500,弥人,28
27,1971336,犭苗犭苗木木,舰长,1084,弥人,28
28,1920686335,弥希_Miki,舰长,1057,弥人,27
29,48934997,感应性本能,舰长,933,弥人,27
30,11546675,贝尔纳德C3,舰长,1512,弥人,27
31,774372,黑糖香草摩卡,舰长,936,弥人,27
32,925,911,舰长,1374,弥人,27
33,281163151,JOL1ON,舰长,777,弥人,27
34,343691814,Noneither,舰长,800,弥人,27
35,26465,一个大光头都没有,舰长,1711,弥人,27
36,6036699,うちまきたまこ,舰长,661,弥人,27
37,7864667,奈亚子从不发糖,舰长,1586,弥人,27
38,7180032,无为無為,舰长,1265,弥人,27
39,12037051,岛那灯,舰长,982,弥人,27
40,123785,灯十走十走十走,舰长,1467,弥人,27
41,2699660,朝日奈未來,舰长,1425,弥人,27
42,13026101,Naglfar-,舰长,1323,弥人,27
43,5460965,松石绿的钢,舰长,1735,弥人,27
44,1640605,神の道化,舰长,484,弥人,27
45,2450646,CYSoulDown,舰长,484,弥人,27
46,16171733,铃鹿Toshi,舰长,1474,弥人,27
47,6165418,一号机测试机师,舰长,1362,弥人,26
48,14354112,EndlessDice,舰长,1191,弥人,26
49,11347396,傻坐着发愣,舰长,719,弥人,26
50,10776008,丽兹与青鸟,舰长,496,弥人,26
51,14910777,勉強机,舰长,768,弥人,26
52,20186995,黇鹿dmdm,舰长,753,弥人,26
53,2290770,夕月秋乃,舰长,1117,弥人,26
54,569267,鵺鸮,舰长,1113,弥人,26
55,330367780,呆喂诶,舰长,281,弥人,26
56,159019,九重雪会,舰长,621,弥人,26
57,3677907,李黑羊,舰长,885,弥人,26
58,28647475,Urobolus_0,舰长,475,弥人,26
59,443066653,毛线毛裤qaq,舰长,779,弥人,26
60,10261329,yukino-雪之下雪乃,舰长,498,弥人,26
61,175534794,sorinX,舰长,890,弥人,26
62,536365,鸢尾百合,舰长,869,弥人,26
63,486937583,红白鬼巫,舰长,726,弥人,26
64,256079359,猫舌头不想喝热茶,舰长,312,弥人,26
65,8274893,西西纳图斯,舰长,221,弥人,26
66,453572565,全職彌人-andy878797,舰长,476,弥人,26
67,8396429,airstone42,舰长,648,弥人,26
68,1829907,Skorz_Tsurumi,舰长,383,弥人,25
69,330986,头上一板砖,舰长,609,弥人,25
70,1878939,破破破破破cd,舰长,536,弥人,25
71,9819432,天遂_人愿,舰长,597,弥人,25
72,7257611,椎名エリ,舰长,491,弥人,25
73,14879283,Sctchf,舰长,431,弥人,25
74,236018,ドジみ,舰长,473,弥人,25
75,1645359409,牛奶巧克力厨,舰长,465,弥人,25
76,11500575,我觉得有一点饿oVO,舰长,479,弥人,25
77,2955509,We1le5s,舰长,400,弥人,25
78,23531154,淅雨沾身,舰长,345,弥人,25
79,8154728,FALCOファルクChannel,舰长,401,弥人,25
80,565632,YomaKKK,舰长,212,弥人,25
81,266375,咕咕-咕咕咕咕咕-咕,舰长,367,弥人,25
82,25411377,SmileyWhite,舰长,275,弥人,25
83,32803548,如月ミホ,舰长,177,弥人,25
84,58725,Qullx_Off,舰长,251,弥人,24
85,14378626,昼星轨,舰长,74,弥人,24
86,30014307,guest450,舰长,204,弥人,24
87,4333178,波动性巧克力慕斯,舰长,165,弥人,24
88,5749293,u狄仁杰发,舰长,165,弥人,24
89,1720160,心眼子嫩小的可表OvO,舰长,58,弥人,23
90,397835007,DD保护协会,舰长,30,弥人,22
