rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1937,弥人,32
2,38133,FayeVL,提督,1963,弥人,32
3,520352,黑镰刀,提督,1669,弥人,31
4,381534568,sayakadead,提督,1859,弥人,30
5,12422769,Beartooth90,提督,1075,弥人,30
6,4304729,清光高校地雷部,提督,1248,弥人,29
7,4333178,波动性巧克力慕斯,提督,355,弥人,28
8,486937583,红白鬼巫,提督,916,弥人,27
9,3561142,无名一世,提督,483,弥人,27
10,264506970,顾小桑的真空家乡,提督,115,弥人,26
11,2512897,山下住一丁,舰长,1875,弥人,31
12,342447,任意子,舰长,1725,弥人,30
13,49337,无公害沙包,舰长,1909,弥人,29
14,12501775,コンプランド,舰长,1395,弥人,29
15,553301,镜晓文,舰长,1938,弥人,29
16,1829374,ムサシノタクミ,舰长,1256,弥人,29
17,8772065,Yukari_YuRI,舰长,1155,弥人,29
18,4206472,弥希家的针尾雨燕,舰长,1246,弥人,29
19,105402,清新正直HHP,舰长,1465,弥人,29
20,5155551,科罗娜青柠,舰长,1758,弥人,28
21,10786214,千万ly,舰长,1962,弥人,28
22,2513015,エーワックス-2434,舰长,1561,弥人,28
23,16011437,瑪修-,舰长,1780,弥人,28
24,18363194,岁星昼见,舰长,1297,弥人,28
25,7913853,アベリアF,舰长,968,弥人,28
26,1920686335,弥希_Miki,舰长,1237,弥人,28
27,356189,Heavens Feel,舰长,1648,弥人,28
28,1603612,月ノneet,舰长,1616,弥人,28
29,5812842,弥之鸣,舰长,1676,弥人,28
30,3182660,影月LuneZ,舰长,1694,弥人,28
31,4921755,アルカローズ,舰长,1690,弥人,28
32,1971336,犭苗犭苗木木,舰长,1274,弥人,28
33,1640605,神の道化,舰长,674,弥人,28
34,48934997,感应性本能,舰长,1123,弥人,27
35,11546675,贝尔纳德C3,舰长,1696,弥人,27
36,6036699,うちまきたまこ,舰长,775,弥人,27
37,925,911,舰长,1484,弥人,27
38,774372,黑糖香草摩卡,舰长,1126,弥人,27
39,281163151,JOL1ON,舰长,967,弥人,27
40,12037051,岛那灯,舰长,1172,弥人,27
41,343691814,Noneither,舰长,990,弥人,27
42,26465,一个大光头都没有,舰长,1901,弥人,27
43,7180032,无为無為,舰长,1453,弥人,27
44,7864667,奈亚子从不发糖,舰长,1776,弥人,27
45,5801333,低级咬人细胞,舰长,1445,弥人,27
46,394942544,咳哈哈哈哼哼,舰长,1628,弥人,27
47,11347396,傻坐着发愣,舰长,909,弥人,27
48,13026101,Naglfar-,舰长,1513,弥人,27
49,2699660,朝日奈未來,舰长,1615,弥人,27
50,2450646,雪烛Yuk1syo,舰长,674,弥人,27
51,8274893,西西纳图斯,舰长,411,弥人,27
52,16171733,铃鹿Toshi,舰长,1664,弥人,27
53,3677907,李黑羊,舰长,1071,弥人,27
54,10261329,yukino-雪之下雪乃,舰长,688,弥人,27
55,6165418,一号机测试机师,舰长,1552,弥人,27
56,1397965,雨宫ノエル,舰长,1474,弥人,27
57,453572565,全職彌人-andy878797,舰长,666,弥人,27
58,14354112,EndlessDice,舰长,1381,弥人,27
59,14910777,勉強机,舰长,958,弥人,26
60,20186995,黇鹿dmdm,舰长,943,弥人,26
61,159019,九重雪会,舰长,811,弥人,26
62,2290770,夕月秋乃,舰长,1307,弥人,26
63,1878939,破破破破破cd,舰长,726,弥人,26
64,569267,鵺鸮,舰长,1303,弥人,26
65,330367780,呆喂诶,舰长,471,弥人,26
66,28647475,Urobolus_0,舰长,665,弥人,26
67,7257611,椎名エリ,舰长,681,弥人,26
68,175534794,sorinX,舰长,1080,弥人,26
69,536365,鸢尾百合,舰长,1059,弥人,26
70,1829907,Skorz_Tsurumi,舰长,573,弥人,26
71,8396429,airstone42,舰长,838,弥人,26
72,9819432,天遂_人愿,舰长,787,弥人,26
73,266375,咕咕-咕咕咕咕咕-咕,舰长,557,弥人,26
74,2495576,spiece,舰长,489,弥人,26
75,236018,ドジみ,舰长,663,弥人,26
76,8359,赫のシャドール,舰长,548,弥人,26
77,2955509,We1le5s,舰长,568,弥人,26
78,119629,灰原烬,舰长,248,弥人,26
79,565632,YomaKKK,舰长,402,弥人,26
80,1645359409,牛奶巧克力厨,舰长,655,弥人,26
81,34616293,摸摸摸摸你傻,舰长,157,弥人,25
82,384616248,毛毛毛毛线裤,舰长,158,弥人,25
83,23531154,淅雨沾身,舰长,535,弥人,25
84,34449312,TGGLL,舰长,425,弥人,25
85,26580137,夜袭魅影,舰长,149,弥人,25
86,4393496,不爱说话的久久,舰长,540,弥人,25
87,7951981,春山薄雪,舰长,93,弥人,25
88,58725,Qullx_Off,舰长,441,弥人,25
89,25372126,Timidmicro19,舰长,338,弥人,25
90,336198406,凌徊levy,舰长,188,弥人,25
91,1935274,丁骨烩饭T,舰长,279,弥人,25
92,49795765,滨海西小毒瘤,舰长,158,弥人,24
93,10068032,dozenw,舰长,188,弥人,24
94,675359,出云的天线,舰长,127,弥人,24
95,351179408,iooPlover,舰长,188,弥人,24
96,323728572,每秒单推一个,舰长,98,弥人,24
97,1039553902,夕莉王,舰长,149,弥人,24
98,89636742,A1in_sy,舰长,159,弥人,24
99,13517355,凉秋21,舰长,157,弥人,24
100,169532651,该用户危险等级为,舰长,127,弥人,24
